Şube No	Şube Adı	Şehir	İlçe	Adres	Telefon	Enlem	Boylam	Yemeksepeti	Getir	Trendyol	Migros
63	İST ÜMRANİYE METROGARDEN AVM (E.K)	İSTANBUL	ÜMRANİYE	NECİP FAZIL MAHALLESİ ALEMDAĞ CAD.NO:940  METRO GARDEN AVM KAT: 2 34773  ÜMRANİYE / İSTANBUL	0 216 510 0902	41015462642.710625	2917859229.950647	https://www.yemeksepeti.com/restaurant/vtql/bereket-doner-vtql	https://getir.com/yemek/restoran/bereket-doner-necip-fazil-mah-umraniye-istanbul/
66	İST BAŞAKŞEHİR İKİTELLİ MASKO (E.K)	İSTANBUL	BAŞAKŞEHİR	İkitelli OSB, ikitelli Mah, Masko Mobilyacılar Çarşısı D:17.ADA, 34490 Başakşehir/İstanbul	(0212) 675 06 97	41063957973.128227	28799869628.716194
85	ANTALYA KEMER (E.K)	ANTALYA	KEMER	YENİ MH.DR.DERVİŞ EROĞLU BLV.NO: 2/18 KEMER - ANTALYA	0542 477 4026	366026381.047164	305594107.368327
92	İST ATAŞEHİR BRANDIUM AVM (E.K)	İSTANBUL	ATAŞEHİR	KÜÇÜKBAKKALKÖY MAHALLESİ DUDULLU CADDESİ BRANDIUM AVM NO:23-25 34750 ATAŞEHİR / İSTANBUL	(0216) 576 86 93	40982039109.354126	2913225438.286668
95	İST BAHÇELİEVLER HAZNEDAR (E.K)	İSTANBUL	BAHÇELİEVLER	Bahçelievler, Naci Kasım Cd. No:2 D:4A, 34180 Bahçelievler/İstanbul	(0212) 644 61 99	41004996331.265709	28871065503.281265	https://www.yemeksepeti.com/restaurant/c46f/bereket-doner-c46f	https://getir.com/yemek/restoran/bereket-doner-bahcelievler-mah-bahcelievler-istanbul/
100	İST SULTANBEYLİ ATLAS PARK (E.K)	İSTANBUL	SULTANBEYLİ	ABDURRAHMANGAZİ MAH. FATİH BULV. NO:67 ATLAS PARK AVM KAT 3 NO:18 SULTANBEYLİ/İSTANBUL	0 216 496 4848	40969497857.949501	2925502455.466741	https://www.yemeksepeti.com/restaurant/tbqj/bereket-doner-tbqj	https://getir.com/yemek/restoran/bereket-doner-abdurrahmangazi-mah-sultanbeyli-istanbul/
107	İST AVCILAR ISPARTAKULE (E.K)	İSTANBUL	AVCILAR	TAHTAKALE MAHALLESİ ABDİ İPEKÇİ CADDESİ AÇELYA SOKAK BİZİMEVLER 4 T1 NO: 1. AVCİLAR/ İSTANBUL	0212 801 2090	4105864160.595352	28714438365.989964	https://www.yemeksepeti.com/restaurant/qvs9/bereket-doner-qvs9	https://getir.com/yemek/restoran/bereket-doner-tahtakale-mah-avcilar-istanbul/
120	KARABÜK MEYDAN (R.Y.K)	KARABÜK	MERKEZ	BAYIR MAH. KEMAL GÜNEŞ CAD. NO:147/A ÇINAR İŞ MERKEZİ MERKEZ/KARABÜK	0 370 412 4400	4119570243.867697	32617672185.584255		https://getir.com/yemek/restoran/bereket-doner-merkez-bayir-mah-merkez-karabuk-2/
122	İST BEŞYÜZEVLER (E.K)	İSTANBUL	BAYRAMPAŞA	YILDIRIM MAH. ESKİ EDİRNE ASFALTI SOK. NO:237/B BAYRAMPAŞA/İSTANBUL	0212  617 10 12	4106803408.619217	2889587659.921549	https://www.yemeksepeti.com/restaurant/x6ru/bereket-doner-x6ru	https://getir.com/yemek/restoran/bereket-doner-yildirim-mah-bayrampasa-istanbul/
123	İST BAHÇEŞEHİR 2.KISIM (E.K)	İSTANBUL	BAŞAKŞEHİR	BAHÇEŞEHİR 2.KISIM MAH.KELEBEK SK.G ÇARŞI NO:2 İÇ KAPI NO:3	0212 608 10 70	4103971464.567169	28669545626.454704	https://www.yemeksepeti.com/restaurant/ugwv/bereket-doner-ugwv	https://getir.com/yemek/restoran/bereket-doner-bahcesehir-2-kisim-mah-basaksehir-istanbul/
127	İST EMİNÖNÜ	İSTANBUL	FATİH	Rüstem Paşa, Yeni Cami Cd. 41/D, 34116 Fatih/İstanbul	0212 513 99 99 - (0212) 511 00 10	4101577634.991738	28971601028.974632
129	AYDIN KUŞADASI AVM (R.Y.K)	AYDIN	KUŞADASI	YAVANSU MAH. KARAOVA SOK. NO:8/7 G-1 KUŞADASI	0256-633 33 23	37809699797.505074	27278189907.418243	https://www.yemeksepeti.com/restaurant/vmvn/bereket-doner-vmvn
153	İST KARTAL (E.K)	İSTANBUL	KARTAL	Çavuşoğlu, Çavuşoğlu Cd. No7.B, 34860 Kartal/İstanbul	02163530014	4089471823.010291	29198943244.081207	https://www.yemeksepeti.com/restaurant/bzw5/bereket-doner-bzw5	https://getir.com/yemek/restoran/bereket-doner-cavusoglu-mah-kartal-istanbul/
154	ZONGULDAK EREĞLİ Ö.PARK AVM (E.K)	ZONGULDAK	EREĞLİ	BAĞLIK MAH. ERDEMİR CAD. NO:93, KDZ.EREĞLİ, 67300 KDZ.EREĞLİ/ZONGULDAK  BEREKET DÖNER	0 372 502 0020	4127593594.793286	31431375570.940197	https://www.yemeksepeti.com/restaurant/m3ns/bereket-doner-m3ns	https://getir.com/yemek/restoran/bereket-doner-karadeniz-eregli-baglik-mah-eregli-zonguldak/
157	ÇORUM OCAKLI (E.K)	ÇORUM	OCAKLI	ÖRNEKEVLER MAH. ANKARA SAMSUN CADDESİ OCAKLI TESİSLERİ NO:70 OCAKLI / ÇORUM	0 364 339 20 10	401578455.003414	3436375479.828694
167	ŞIRNAK KTM	ŞIRNAK	MERKEZ	Şırnak cizre nur mah tank taburu merkez komutanlığı	0	373427682.307814	421758061.294611
169	İST BEŞİKTAŞ ETİLER (E.K)	İSTANBUL	BEŞİKTAŞ	Nisbetiye, Levent Apt, Aytar Cd. No:31 D:C, 34340 Beşiktaş/İstanbul	(0212) 280 15 16	4107569074.624196	2901965766.420949	https://www.yemeksepeti.com/restaurant/j6lx/bereket-doner-j6lx	https://getir.com/yemek/restoran/bereket-doner-etiler-mah-besiktas-istanbul/
173	İST EYÜP VİALAND AVM (E.K)	İSTANBUL	EYÜPSULTAN	Yesilpinar Mah. Girne Cad Vialand Shopping Mall, 34065 Eyüpsultan/İstanbul - VİALAND (TEMAPARK)	0 535 278 26 81	41074891358.946342	28924066743.992828
175	ÇORUM SUNGURLU (E.K)	ÇORUM	SUNGURLU	KARAKAYA KÖYÜ HANDERESİ MEVKİ SUNGURLU ÇORUM	0 364 339 20 10	4015785766.767998	3436375397.589568
182	SİVAS PRİMALL AVM (E.K)	SİVAS	MERKEZ	GÜLTEPE MAH. FARABİ CAD. NO 22 MERKEZ SİVAS	0530 746 11 06	3972961213.823181	3699189589.794665
185	İST BEYLİKDÜZÜ BÜYÜKŞEHİR (E.K)	İSTANBUL	BEYLİKDÜZÜ	BÜYÜKŞEHİR MAHALLESİ ŞENEMEKEVLER SİTESİ CUMHURİYET CADDESİ NO:21 AE NO-21/C BAĞIMSIZ BÖLÜM BEYLİKDÜZÜ	0212 871 41 25	4100337265.851356	28643663051.595474	https://www.yemeksepeti.com/restaurant/k2jf/bereket-doner-k2jf	https://getir.com/yemek/restoran/bereket-doner-buyuksehir-mah-beylikduzu-istanbul/
191	İST EYÜP PARK (E.K)	İSTANBUL	EYÜPSULTAN	Akşemsettin, Atatürk Blv, 34070 Eyüpsultan/İstanbul	(0212) 626 00 27	4108232372.622316	28918622024.154922	https://www.yemeksepeti.com/restaurant/o7ts/bereket-doner-o7ts	https://getir.com/yemek/restoran/bereket-doner-mustafa-kemal-bulv-eyupsultan-istanbul/
194	MARDİN MARDİAN MALL AVM (E.K)	MARDİN	ARTUKLU	Yenişehir Mh. Vali Ozan Cd. AVM No.1/1 İç Kapı No:53 Artuklu / Mardin No: ./Mardin	0482 502 55 43	37321537326.293739	4072362946.507112
204	İST BAĞCILAR İSTOÇ (E.K)	İSTANBUL	BAĞCILAR	Opet, İstoc ticaret merkezi A-A yolu 8.ada karşısı, 34200 Bağcılar/İstanbul	0 533 959 56 53	4106984079.303143	2882532160.126829	https://www.yemeksepeti.com/restaurant/dpwm/bereket-doner-dpwm	https://getir.com/yemek/restoran/bereket-doner-mahmutbey-mah-bagcilar-istanbul-2/
206	BATMAN PETROL CİTY (E.K)	BATMAN	MERKEZ	GÜLTEPE MH DEMOKRASİ BLV.NO:60 İÇ KAPI NO 144 MERKEZ BATMAN No: ./Batman	0536 280 70 72	3792021987.468064	4113570027.144268	https://www.yemeksepeti.com/restaurant/h5os/bereket-doner-h5os	https://getir.com/yemek/restoran/bereket-doner-merkez-gultepe-mah-merkez-batman/
209	İST ESENYURT GÜZELYURT (E.K)	İSTANBUL	ESENYURT	GÜZELYURT MAH. ORHANGAZİ CAD. GÜLPARK YAŞAM EVLERİ NO 1-3 C	0212 699 10 10	41009778323.169678	28668674062.165871	https://www.yemeksepeti.com/restaurant/j3c8/bereket-doner-j3c8	https://getir.com/yemek/restoran/bereket-doner-guzelyurt-mah-esenyurt-istanbul/
215	İST ÜSKÜDAR KİRAZLITEPE (E.K)	İSTANBUL	ÜSKÜDAR	KİRAZLITEPE  M.AKİF ERSOY  CAD.112 / B    ÜSÜDAR / İSTANBUL	0 216 422 2212	4103570760.445321	2906331577.666411	https://www.yemeksepeti.com/restaurant/bjsc/bereket-doner-bjsc	https://getir.com/yemek/restoran/bereket-doner-kirazlitepe-mah-uskudar-istanbul/
218	İST SULTANGAZİ HASAKİ HASTANE (E.K)	İSTANBUL	SULTANGAZİ	Uğur Mumcu Mah.2348. Sk. Markam AVM(Sultown) No:5 M Sultangazi	0212 612 10 10	4110612361.220963	28872086188.077606	https://www.yemeksepeti.com/restaurant/p64i/bereket-doner-p64i
